Seq,AOU,English_Common_Name,French_Common_Name,Order,Family,Genus,Species
6,01770,Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Anseriformes,Anatidae,Dendrocygna,autumnalis
7,01780,Fulvous Whistling-Duck,Dendrocygne fauve,Anseriformes,Anatidae,Dendrocygna,bicolor
8,01760,Emperor Goose,Oie empereur,Anseriformes,Anatidae,Anser,canagicus
9,01690,Snow Goose,Oie des neiges,Anseriformes,Anatidae,Anser,caerulescens
10,01691,(Blue Goose) Snow Goose,Oie des neiges (forme bleue),Anseriformes,Anatidae,Anser,caerulescens (blue form)
11,01700,Ross's Goose,Oie de Ross,Anseriformes,Anatidae,Anser,rossii
12,01710,Greater White-fronted Goose,Oie rieuse,Anseriformes,Anatidae,Anser,albifrons
14,01730,Brant,Bernache cravant,Anseriformes,Anatidae,Branta,bernicla
15,01740,(Black Brant) Brant,Bernache cravant (groupe nigricans),Anseriformes,Anatidae,Branta,bernicla nigricans
17,01725,Cackling Goose,Bernache de Hutchins,Anseriformes,Anatidae,Branta,hutchinsii
18,01720,Canada Goose,Bernache du Canada,Anseriformes,Anatidae,Branta,canadensis
19,01782,Mute Swan,Cygne tuberculé,Anseriformes,Anatidae,Cygnus,olor
20,01810,Trumpeter Swan,Cygne trompette,Anseriformes,Anatidae,Cygnus,buccinator
21,01800,Tundra Swan,Cygne siffleur,Anseriformes,Anatidae,Cygnus,columbianus
23,20630,Egyptian Goose,Ouette d'Égypte,Anseriformes,Anatidae,Alopochen,aegyptiaca
24,10210,Muscovy Duck,Canard musqué,Anseriformes,Anatidae,Cairina,moschata
25,01440,Wood Duck,Canard branchu,Anseriformes,Anatidae,Aix,sponsa
27,01400,Blue-winged Teal,Sarcelle à ailes bleues,Anseriformes,Anatidae,Spatula,discors
28,01410,Cinnamon Teal,Sarcelle cannelle,Anseriformes,Anatidae,Spatula,cyanoptera
29,01420,Northern Shoveler,Canard souchet,Anseriformes,Anatidae,Spatula,clypeata
30,01350,Gadwall,Canard chipeau,Anseriformes,Anatidae,Mareca,strepera
31,01360,Eurasian Wigeon,Canard siffleur,Anseriformes,Anatidae,Mareca,penelope
32,01370,American Wigeon,Canard d'Amérique,Anseriformes,Anatidae,Mareca,americana
33,01320,Mallard,Canard colvert,Anseriformes,Anatidae,Anas,platyrhynchos
34,01331,Mexican Duck,Canard du Mexique,Anseriformes,Anatidae,Anas,diazi
35,01330,American Black Duck,Canard noir,Anseriformes,Anatidae,Anas,rubripes
36,01340,Mottled Duck,Canard brun,Anseriformes,Anatidae,Anas,fulvigula
37,01326,hybrid Mallard x Black / Mexican / Mottled Duck,hybride Canard colvert x noir / Mexique / brun,Anseriformes,Anatidae,Anas,platyrhynchos x rubripes / diazi / fulvigula
39,01430,Northern Pintail,Canard pilet,Anseriformes,Anatidae,Anas,acuta
40,01390,Green-winged Teal,Sarcelle d'hiver,Anseriformes,Anatidae,Anas,crecca
41,01470,Canvasback,Fuligule à dos blanc,Anseriformes,Anatidae,Aythya,valisineria
42,01460,Redhead,Fuligule à tête rouge,Anseriformes,Anatidae,Aythya,americana
43,01500,Ring-necked Duck,Fuligule à collier,Anseriformes,Anatidae,Aythya,collaris
44,01491,Tufted Duck,Fuligule morillon,Anseriformes,Anatidae,Aythya,fuligula
45,01480,Greater Scaup,Fuligule milouinan,Anseriformes,Anatidae,Aythya,marila
46,01490,Lesser Scaup,Petit Fuligule,Anseriformes,Anatidae,Aythya,affinis
47,01489,unid. Greater Scaup / Lesser Scaup,unid Fuligule milouinan / Petit Fuligule,Anseriformes,Anatidae,Aythya,marila / affinis
48,01570,Steller's Eider,Eider de Steller,Anseriformes,Anatidae,Polysticta,stelleri
49,01580,Spectacled Eider,Eider à lunettes,Anseriformes,Anatidae,Somateria,fischeri
50,01620,King Eider,Eider à tête grise,Anseriformes,Anatidae,Somateria,spectabilis
51,01590,Common Eider,Eider à duvet,Anseriformes,Anatidae,Somateria,mollissima
52,01550,Harlequin Duck,Arlequin plongeur,Anseriformes,Anatidae,Histrionicus,histrionicus
53,01660,Surf Scoter,Macreuse à front blanc,Anseriformes,Anatidae,Melanitta,perspicillata
54,01650,White-winged Scoter,Macreuse à ailes blanches,Anseriformes,Anatidae,Melanitta,deglandi
56,01630,Black Scoter,Macreuse à bec jaune,Anseriformes,Anatidae,Melanitta,americana
57,01657,unid. scoter,unid macreuse sp.,Anseriformes,Anatidae,Melanitta,sp.
58,01540,Long-tailed Duck,Harelde kakawi,Anseriformes,Anatidae,Clangula,hyemalis
59,01530,Bufflehead,Petit Garrot,Anseriformes,Anatidae,Bucephala,albeola
60,01510,Common Goldeneye,Garrot à oeil d'or,Anseriformes,Anatidae,Bucephala,clangula
61,01520,Barrow's Goldeneye,Garrot d'Islande,Anseriformes,Anatidae,Bucephala,islandica
62,01512,unid. Common Goldeneye / Barrow's Goldeneye,unid Garrot à oeil d'or / Garrot d'Islande,Anseriformes,Anatidae,Bucephala,clangula / islandica
64,01310,Hooded Merganser,Harle couronné,Anseriformes,Anatidae,Lophodytes,cucullatus
65,01290,Common Merganser,Grand Harle,Anseriformes,Anatidae,Mergus,merganser
