RouteDataID,CountryNum,StateNum,Route,RPID,Year,AOU,Count10,Count20,Count30,Count40,Count50,StopTotal,SpeciesTotal
6169393,840,85,001,101,1969,03160,9   ,2   ,2   ,1   ,0   ,7 ,14  
6169393,840,85,001,101,1969,03310,0   ,0   ,0   ,3   ,0   ,2 ,3   
6169393,840,85,001,101,1969,03480,0   ,0   ,0   ,1   ,0   ,1 ,1   
6169393,840,85,001,101,1969,04740,8   ,10  ,41  ,20  ,16  ,18,95  
6169393,840,85,001,101,1969,05011,5   ,2   ,14  ,1   ,1   ,7 ,23  
6169393,840,85,001,101,1969,05520,1   ,0   ,0   ,0   ,0   ,1 ,1   
6169393,840,85,001,101,1969,05738,3   ,0   ,1   ,0   ,0   ,4 ,4   
6169393,840,85,001,101,1969,06120,0   ,0   ,0   ,0   ,5   ,1 ,5   
6172170,840,85,001,101,1970,02881,1   ,0   ,0   ,0   ,0   ,1 ,1   
6172170,840,85,001,101,1970,02882,0   ,0   ,10  ,0   ,0   ,1 ,10  
6172170,840,85,001,101,1970,03160,1   ,0   ,0   ,0   ,0   ,1 ,1   
6172170,840,85,001,101,1970,03490,1   ,1   ,0   ,0   ,1   ,3 ,3   
6172170,840,85,001,101,1970,03600,0   ,0   ,0   ,1   ,0   ,1 ,1   
6172170,840,85,001,101,1970,04740,16  ,45  ,172 ,3   ,7   ,21,243 
6172170,840,85,001,101,1970,05011,15  ,0   ,2   ,2   ,1   ,9 ,20  
6172170,840,85,001,101,1970,05738,1   ,0   ,0   ,3   ,0   ,2 ,4   
6172170,840,85,001,101,1970,06220,1   ,0   ,0   ,0   ,1   ,2 ,2   
6172170,840,85,001,101,1970,07020,0   ,0   ,0   ,0   ,1   ,1 ,1   
6174164,840,85,001,101,1971,01410,0   ,0   ,0   ,2   ,0   ,1 ,2   
6174164,840,85,001,101,1971,02730,2   ,0   ,0   ,0   ,0   ,1 ,2   
6174164,840,85,001,101,1971,03160,12  ,0   ,1   ,2   ,0   ,6 ,15  
6174164,840,85,001,101,1971,04470,1   ,1   ,0   ,0   ,0   ,2 ,2   
6174164,840,85,001,101,1971,04740,5   ,11  ,11  ,3   ,13  ,21,43  
6174164,840,85,001,101,1971,04860,0   ,4   ,0   ,0   ,4   ,3 ,8   
6174164,840,85,001,101,1971,05011,31  ,20  ,12  ,43  ,11  ,34,117 
6174164,840,85,001,101,1971,05520,0   ,0   ,1   ,0   ,0   ,1 ,1   
6174164,840,85,001,101,1971,05738,2   ,5   ,2   ,1   ,2   ,9 ,12  
6174164,840,85,001,101,1971,06220,0   ,0   ,4   ,0   ,0   ,2 ,4   
6176250,840,85,001,101,1972,03550,0   ,0   ,0   ,2   ,0   ,1 ,2   
6176250,840,85,001,101,1972,03780,0   ,0   ,0   ,5   ,0   ,1 ,5   
6176250,840,85,001,101,1972,04740,26  ,21  ,9   ,3   ,3   ,29,62  
6176250,840,85,001,101,1972,04860,0   ,2   ,17  ,3   ,0   ,8 ,22  
6176250,840,85,001,101,1972,05011,0   ,28  ,40  ,15  ,5   ,23,88  
6176250,840,85,001,101,1972,05730,0   ,0   ,1   ,0   ,0   ,1 ,1   
6176250,840,85,001,101,1972,05738,0   ,0   ,0   ,2   ,1   ,3 ,3   
6176250,840,85,001,101,1972,06220,0   ,0   ,2   ,0   ,3   ,3 ,5   
6178384,840,85,001,101,1973,03160,0   ,0   ,0   ,1   ,0   ,1 ,1   
6178384,840,85,001,101,1973,03490,0   ,0   ,0   ,1   ,0   ,1 ,1   
6178384,840,85,001,101,1973,04200,0   ,0   ,0   ,11  ,0   ,4 ,11  
6178384,840,85,001,101,1973,04740,23  ,20  ,4   ,11  ,5   ,23,63  
6178384,840,85,001,101,1973,04860,0   ,5   ,1   ,0   ,7   ,7 ,13  
6178384,840,85,001,101,1973,05011,18  ,15  ,8   ,8   ,10  ,27,59  
6178384,840,85,001,101,1973,05400,2   ,0   ,0   ,0   ,0   ,1 ,2   
6178384,840,85,001,101,1973,05730,0   ,0   ,4   ,0   ,0   ,2 ,4   
6178384,840,85,001,101,1973,05738,3   ,0   ,0   ,0   ,0   ,2 ,3   
6177183,840,85,001,101,1974,02730,0   ,0   ,0   ,0   ,2   ,1 ,2   
6177183,840,85,001,101,1974,02882,12  ,0   ,0   ,0   ,0   ,1 ,12  
6177183,840,85,001,101,1974,03160,3   ,0   ,0   ,0   ,2   ,2 ,5   
6177183,840,85,001,101,1974,03550,0   ,1   ,0   ,0   ,0   ,1 ,1   
6177183,840,85,001,101,1974,04200,0   ,1   ,0   ,0   ,0   ,1 ,1   
6177183,840,85,001,101,1974,04740,3   ,1   ,11  ,3   ,0   ,6 ,18  
6177183,840,85,001,101,1974,04860,0   ,0   ,1   ,0   ,0   ,1 ,1   
6177183,840,85,001,101,1974,04880,0   ,0   ,1   ,0   ,0   ,1 ,1   
6177183,840,85,001,101,1974,04950,0   ,2   ,0   ,0   ,0   ,1 ,2   
6177183,840,85,001,101,1974,05011,10  ,10  ,3   ,4   ,11  ,25,38  
6177183,840,85,001,101,1974,05420,1   ,0   ,0   ,0   ,0   ,1 ,1   
6177183,840,85,001,101,1974,05520,3   ,4   ,2   ,2   ,4   ,10,15  
6177183,840,85,001,101,1974,05730,4   ,3   ,0   ,0   ,0   ,4 ,7   
6177183,840,85,001,101,1974,05738,7   ,5   ,0   ,0   ,4   ,10,16  
6177183,840,85,001,101,1974,06220,0   ,0   ,0   ,2   ,0   ,1 ,2   
6198545,840,85,001,101,1986,02250,0   ,0   ,1   ,0   ,0   ,1 ,1   
6198545,840,85,001,101,1986,02730,0   ,0   ,2   ,0   ,0   ,2 ,2   
6198545,840,85,001,101,1986,03160,0   ,1   ,0   ,0   ,5   ,5 ,6   
6198545,840,85,001,101,1986,03310,0   ,0   ,0   ,1   ,0   ,1 ,1   
6198545,840,85,001,101,1986,03370,0   ,0   ,0   ,0   ,1   ,1 ,1   
6198545,840,85,001,101,1986,03490,0   ,0   ,1   ,0   ,0   ,1 ,1   
6198545,840,85,001,101,1986,03780,0   ,0   ,0   ,1   ,0   ,1 ,1   
6198545,840,85,001,101,1986,04200,0   ,0   ,1   ,0   ,1   ,2 ,2   
6198545,840,85,001,101,1986,04740,14  ,17  ,7   ,23  ,12  ,32,73  
6198545,840,85,001,101,1986,04860,1   ,0   ,2   ,1   ,0   ,3 ,4   
6198545,840,85,001,101,1986,04950,0   ,0   ,3   ,0   ,0   ,3 ,3   
6198545,840,85,001,101,1986,04980,0   ,0   ,2   ,0   ,0   ,1 ,2   
6198545,840,85,001,101,1986,05011,21  ,28  ,30  ,32  ,24  ,50,135 
6198545,840,85,001,101,1986,05400,0   ,0   ,1   ,0   ,0   ,1 ,1   
6198545,840,85,001,101,1986,05520,1   ,5   ,2   ,1   ,0   ,8 ,9   
6198545,840,85,001,101,1986,05620,9   ,4   ,4   ,1   ,0   ,14,18  
6198545,840,85,001,101,1986,05730,3   ,6   ,5   ,0   ,2   ,14,16  
6198545,840,85,001,101,1986,06130,0   ,0   ,0   ,0   ,1   ,1 ,1   
6198545,840,85,001,101,1986,06220,0   ,0   ,0   ,0   ,1   ,1 ,1   
6198545,840,85,001,101,1986,07030,0   ,0   ,1   ,0   ,0   ,1 ,1   
6200558,840,85,001,101,1987,00530,0   ,1   ,0   ,0   ,0   ,1 ,1   
6200558,840,85,001,101,1987,02730,0   ,0   ,0   ,0   ,1   ,1 ,1   
6200558,840,85,001,101,1987,03160,0   ,0   ,2   ,3   ,13  ,10,18  
6200558,840,85,001,101,1987,03370,0   ,1   ,0   ,0   ,0   ,1 ,1   
6200558,840,85,001,101,1987,03490,0   ,0   ,0   ,0   ,1   ,1 ,1   
6200558,840,85,001,101,1987,03600,0   ,0   ,0   ,1   ,0   ,1 ,1   
6200558,840,85,001,101,1987,03780,0   ,1   ,0   ,0   ,0   ,1 ,1   
6200558,840,85,001,101,1987,04200,4   ,0   ,0   ,0   ,1   ,3 ,5   
6200558,840,85,001,101,1987,04470,0   ,1   ,0   ,0   ,0   ,1 ,1   
6200558,840,85,001,101,1987,04740,7   ,12  ,9   ,19  ,10  ,29,57  
6200558,840,85,001,101,1987,04860,0   ,2   ,0   ,0   ,1   ,2 ,3   
6200558,840,85,001,101,1987,04950,0   ,1   ,5   ,2   ,0   ,4 ,8   
6200558,840,85,001,101,1987,05011,18  ,34  ,26  ,33  ,20  ,45,131 
6200558,840,85,001,101,1987,05100,0   ,0   ,1   ,5   ,0   ,3 ,6   
6200558,840,85,001,101,1987,05520,15  ,4   ,6   ,1   ,1   ,19,27  
6200558,840,85,001,101,1987,05620,0   ,5   ,8   ,8   ,2   ,14,23  
6200558,840,85,001,101,1987,05730,8   ,7   ,9   ,9   ,4   ,26,37  
6200558,840,85,001,101,1987,05738,0   ,0   ,0   ,0   ,1   ,1 ,1   
6200558,840,85,001,101,1987,06220,1   ,0   ,1   ,0   ,0   ,2 ,2   
6200558,840,85,001,101,1987,07020,0   ,0   ,0   ,2   ,0   ,1 ,2   
