"","Latitude","Longitude","date"
"1",35.8986777,-114.2909089,1968-06-09
"2",34.9859877,-114.4831159,1988-05-23
"3",34.9859877,-114.4831159,1992-05-24
"4",34.9859877,-114.4831159,1993-05-23
"5",34.9859877,-114.4831159,1995-05-21
"6",34.9859877,-114.4831159,1996-05-18
"7",34.9859877,-114.4831159,1997-05-21
"8",34.9859877,-114.4831159,1998-05-22
"9",34.9859877,-114.4831159,1999-05-22
"10",34.9859877,-114.4831159,2000-05-20
"11",34.9859877,-114.4831159,2001-05-22
"12",34.9859877,-114.4831159,2004-05-21
"13",34.9859877,-114.4831159,2005-06-12
"14",34.9859877,-114.4831159,2006-05-17
"15",34.9859877,-114.4831159,2007-05-21
"16",34.9859877,-114.4831159,2008-05-19
"17",34.9859877,-114.4831159,2009-05-21
"18",34.9859877,-114.4831159,2010-05-20
"19",34.9859877,-114.4831159,2011-05-04
"20",34.9859877,-114.4831159,2013-05-13
"21",34.9859877,-114.4831159,2014-05-22
"22",34.9859877,-114.4831159,2015-05-22
"23",34.9859877,-114.4831159,2016-05-12
"24",34.9859877,-114.4831159,2017-05-16
"25",34.9859877,-114.4831159,2018-05-15
"26",34.9859877,-114.4831159,2019-05-08
"27",34.9859877,-114.4831159,2021-05-17
"28",34.9859877,-114.4831159,2022-05-24
"29",34.9859877,-114.4831159,2023-05-28
"30",34.9859877,-114.4831159,2024-05-10
"31",34.7270747,-113.9188229,1992-05-17
"32",34.7270747,-113.9188229,1993-05-02
"33",34.7270747,-113.9188229,1994-05-20
"34",34.7270747,-113.9188229,1995-05-21
"35",34.7270747,-113.9188229,1996-05-18
"36",34.7270747,-113.9188229,1997-05-23
"37",34.7270747,-113.9188229,1998-05-22
"38",34.7270747,-113.9188229,2000-05-26
"39",34.7270747,-113.9188229,2001-05-23
"40",34.7270747,-113.9188229,2002-05-25
"41",34.7270747,-113.9188229,2003-05-24
"42",34.7270747,-113.9188229,2004-06-05
"43",34.7270747,-113.9188229,2005-05-22
"44",34.7270747,-113.9188229,2006-05-29
"45",34.7270747,-113.9188229,2007-05-28
"46",34.7270747,-113.9188229,2009-05-25
"47",34.7270747,-113.9188229,2010-05-26
"48",34.7270747,-113.9188229,2011-05-29
"49",34.7270747,-113.9188229,2012-05-27
"50",34.7270747,-113.9188229,2014-05-11
"51",34.7270747,-113.9188229,2015-05-10
"52",34.7270747,-113.9188229,2016-05-15
"53",34.7270747,-113.9188229,2017-05-21
"54",34.7270747,-113.9188229,2018-05-05
"55",34.7270747,-113.9188229,2019-05-08
"56",34.7270747,-113.9188229,2022-05-28
"57",34.7270747,-113.9188229,2024-05-19
"58",35.113694,-114.57123,1992-05-29
"59",35.113694,-114.57123,1993-05-19
"60",35.113694,-114.57123,1996-05-17
"61",35.113694,-114.57123,1997-05-24
"62",35.113694,-114.57123,1998-05-29
"63",35.113694,-114.57123,2003-06-26
"64",35.113694,-114.57123,2004-05-15
"65",35.113694,-114.57123,2007-05-10
"66",35.113694,-114.57123,2008-05-05
"67",35.113694,-114.57123,2009-04-29
"68",35.113694,-114.57123,2010-05-11
"69",35.113694,-114.57123,2012-05-16
"70",35.113694,-114.57123,2013-05-15
"71",35.113694,-114.57123,2015-05-16
"72",35.113694,-114.57123,2016-05-06
"73",35.113694,-114.57123,2017-05-02
"74",35.113694,-114.57123,2018-05-11
"75",35.113694,-114.57123,2021-05-04
"76",35.113694,-114.57123,2022-06-15
"77",35.113694,-114.57123,2023-06-22
"78",35.113694,-114.57123,2024-06-03
"79",35.4272901,-113.8087941,1994-06-01
"80",35.4272901,-113.8087941,1995-06-13
"81",35.4272901,-113.8087941,1996-06-06
"82",35.4272901,-113.8087941,1997-06-04
"83",35.4272901,-113.8087941,1998-06-16
"84",35.4272901,-113.8087941,2001-05-24
"85",35.4272901,-113.8087941,2002-05-24
"86",35.4272901,-113.8087941,2004-05-12
"87",35.4272901,-113.8087941,2006-05-18
"88",35.4272901,-113.8087941,2007-05-17
"89",35.4272901,-113.8087941,2008-06-19
"90",35.4272901,-113.8087941,2009-05-14
"91",35.4272901,-113.8087941,2010-05-25
"92",35.4272901,-113.8087941,2011-05-12
"93",35.4272901,-113.8087941,2012-05-31
"94",35.4272901,-113.8087941,2013-06-07
"95",35.4272901,-113.8087941,2014-05-21
"96",35.4272901,-113.8087941,2015-05-20
"97",35.4272901,-113.8087941,2016-05-18
"98",35.4272901,-113.8087941,2017-05-17
"99",35.4272901,-113.8087941,2018-05-17
"100",35.4272901,-113.8087941,2022-05-25
"101",35.4272901,-113.8087941,2023-06-07
"102",35.4272901,-113.8087941,2024-05-10
"103",35.8663787,-114.6619869,1989-05-14
"104",35.8663787,-114.6619869,1990-06-03
"105",35.8663787,-114.6619869,1992-05-31
"106",35.8663787,-114.6619869,1993-05-21
"107",35.8663787,-114.6619869,1994-05-27
"108",35.8663787,-114.6619869,1995-05-26
"109",35.8663787,-114.6619869,1996-05-24
"110",35.8663787,-114.6619869,1997-05-31
"111",35.8663187,-114.6620259,2002-06-14
"112",35.8663187,-114.6620259,2005-05-09
"113",35.8663187,-114.6620259,2006-05-01
"114",35.8663187,-114.6620259,2007-05-29
"115",35.8663187,-114.6620259,2010-05-26
"116",35.8663187,-114.6620259,2011-05-13
"117",35.8663187,-114.6620259,2016-05-16
"118",35.8663187,-114.6620259,2017-05-05
"119",35.8663187,-114.6620259,2018-04-25
"120",35.8663187,-114.6620259,2019-05-05
"121",35.8663187,-114.6620259,2021-04-30
"122",35.8663187,-114.6620259,2022-04-24
"123",35.8663187,-114.6620259,2024-06-07
"124",36.716665,-117.574268,1970-06-03
"125",36.716665,-117.574268,1972-05-11
"126",36.716665,-117.574268,1975-05-16
"127",36.716665,-117.574268,1977-05-03
"128",36.716665,-117.574268,1981-05-10
"129",36.716665,-117.574268,1983-05-14
"130",36.716665,-117.574268,1984-05-05
"131",36.716665,-117.574268,1985-05-11
"132",36.716665,-117.574268,1986-05-10
"133",36.716665,-117.574268,1987-05-09
"134",36.716665,-117.574268,1988-05-07
"135",36.716665,-117.574268,1990-05-12
"136",36.716665,-117.574268,1991-05-04
"137",36.716665,-117.574268,1993-05-08
"138",36.716665,-117.574268,1994-05-07
"139",36.716665,-117.574268,1996-05-11
"140",36.716665,-117.574268,1997-05-04
"141",36.716665,-117.574268,1998-05-09
"142",36.716665,-117.574268,1999-05-02
"143",36.716665,-117.574268,2000-05-06
"144",36.716665,-117.574268,2001-05-06
"145",36.716665,-117.574268,2002-05-07
"146",36.716665,-117.574268,2019-06-14
"147",36.716665,-117.574268,2021-05-11
"148",36.716665,-117.574268,2022-05-26
"149",36.159185,-117.886498,1975-05-30
"150",36.159185,-117.886498,1976-06-04
"151",36.159185,-117.886498,1992-06-04
"152",36.159185,-117.886498,1993-06-08
"153",36.159185,-117.886498,1994-06-04
"154",36.159185,-117.886498,1995-06-04
"155",36.159185,-117.886498,1996-06-10
"156",36.159185,-117.886498,1997-06-13
"157",36.159185,-117.886498,1998-06-06
"158",36.159185,-117.886498,1999-06-11
"159",36.159185,-117.886498,2000-06-06
"160",36.159185,-117.886498,2001-06-05
"161",36.159185,-117.886498,2002-05-24
"162",36.159185,-117.886498,2003-05-22
"163",36.159185,-117.886498,2004-05-25
"164",36.159185,-117.886498,2005-05-18
"165",36.5381747,-117.2138369,1977-05-07
"166",36.5381747,-117.2138369,1978-05-12
"167",36.5381747,-117.2138369,1979-04-23
"168",36.5381747,-117.2138369,1991-06-07
"169",36.5381747,-117.2138369,1993-06-02
"170",36.5381747,-117.2138369,1994-05-25
"171",36.5381747,-117.2138369,1995-05-31
"172",36.5381747,-117.2138369,1996-06-04
"173",36.5381747,-117.2138369,1999-06-09
"174",36.5381747,-117.2138369,2000-05-31
"175",36.5381747,-117.2138369,2001-05-26
"176",36.5381747,-117.2138369,2003-05-30
"177",36.5381747,-117.2138369,2005-06-02
"178",36.5381747,-117.2138369,2022-06-02
"179",35.0877907,-117.9172289,1977-05-14
"180",35.0877907,-117.9172289,1978-06-18
"181",35.0877907,-117.9172289,1979-05-20
"182",35.0877907,-117.9172289,1980-04-26
"183",35.0877907,-117.9172289,1995-05-24
"184",35.0877907,-117.9172289,1996-05-29
"185",35.0877907,-117.9172289,1997-05-23
"186",35.0877907,-117.9172289,2012-05-29
"187",35.0877907,-117.9172289,2015-06-09
"188",35.3017657,-116.9158549,1986-05-18
"189",35.3017657,-116.9158549,1987-05-23
"190",35.3017657,-116.9158549,1988-05-21
