"year","AG","BD","CM","CS","GB","MM","EV","PV","SC","JT","CK","FE","FK","IV","OR","PT"
2001,0.157504288074763,0.323723502811931,0.26213259257937,0.544798871023314,0.448454606912884,0.210146881341934,0.278662524372339,0.259011298418045,0.339148295899996,0.235404946335724,0.114244688725607,0.443074807828786,0.344551145571929,0.499456353722111,0.470446190581872,0.216971670587858
2002,0.132465456166993,0.28473531880549,0.176008433103561,0.337778828718833,0.367166685999608,0.260214845538139,0.21027998936673,0.152365328813041,0.177541476316177,0.22428418174386,0.118225788803432,0.32216985371648,0.091690189190782,0.506176110297915,0.225001434580638,0.166279895024167
2003,0.160685397036698,0.366106600988479,0.2483687535409,0.515963808979307,0.462300971734758,0.266360447406769,0.33493672957023,0.293412411654437,0.337451294064522,0.270456883311272,0.140780504792929,0.399024304534708,0.356449717512498,0.5042846576562,0.432020480816181,0.235889323469665
2004,0.105776262348113,0.339467689394951,0.151118207081992,0.406876610432352,0.402475498032336,0.224008349180222,0.328792141626279,0.267281320911867,0.278245772497776,0.21470494972808,0.110467744610188,0.332210838034445,0.324093216199141,0.471489851200391,0.397328552718346,0.160580018742217
2005,0.115464621264002,0.209982350113846,0.170998057771114,0.369289886951447,0.26849047459808,0.164905969500542,0.263109472642342,0.210300109176724,0.235300404139054,0.181155519400324,0.104393327566372,0.257254705593294,0.29070362677941,0.33855132001733,0.336093356403021,0.180968722121583
2006,0.220532107612361,0.482195006239982,0.175038607290355,0.518180869306837,0.457163163259918,0.366400989890099,0.512776889900367,0.478810314778928,0.415579330796997,0.320217975867646,0.206444052810019,0.387325271355863,0.562160041240545,0.414057000525414,0.575595854566647,0.217534993257787
2007,0.204669722396394,0.145821093625966,0.159832917594461,0.341929859774453,0.145873349013866,0.144756001234055,0.311247365176678,0.275466681354576,0.262207810695355,0.280264245825154,0.151901564677246,0.265945441792814,0.23623889707602,0.34658271405432,0.440707156004814,0.240207754075527
2008,0.133117455503215,0.378875845954532,0.161197530566364,0.457959367547716,0.407580843597066,0.319293147325516,0.428157227734725,0.300961090182817,0.304258420585822,0.300302190014294,0.14071490268477,0.355048325292918,0.293176723672793,0.568883328920319,0.474655656573864,0.214776780870226
2009,0.126192680681529,0.270935361229238,0.134326536488789,0.414111169321196,0.320900347156852,0.245681166648865,0.31163370013237,0.234660544605167,0.231115842190308,0.236412018218211,0.119004932697862,0.273452290466854,0.218577095178457,0.432369810957757,0.353201980774219,0.176366185976399
2010,0.125689338730729,0.343872708224115,0.182815678537853,0.382092849271638,0.422295514275046,0.255129837393761,0.262585011124611,0.205651639788239,0.258119414632137,0.25705478893859,0.124398268039592,0.312197778145878,0.213257771157301,0.516385113909131,0.312901942202678,0.248285943435298
2011,0.191084816080073,0.225958855379195,0.177466869113907,0.360113308259419,0.239730380767701,0.208186303675175,0.330198921263218,0.277635661540208,0.277824046329046,0.242622041276523,0.163364810064774,0.28337379864284,0.314874155246294,0.371010360500169,0.404137138563853,0.245867957671483
2012,0.193072789389154,0.413752654478663,0.296931880416088,0.354464625886508,0.510856909494774,0.276067436635494,0.197412813703219,0.183904085860208,0.306082356052521,0.329920416644641,0.18583024750379,0.409189062763234,0.196147925349382,0.573083012823075,0.247911596240906,0.370108858578735
2013,0.0949528918642065,0.290741448601087,0.128253698068601,0.435541942289897,0.340658129138105,0.25171309530735,0.3634106417497,0.241575526418509,0.246015963646082,0.234658057721598,0.104777086399157,0.28431415398206,0.276444802605189,0.5041105245787,0.423467583381213,0.185773378858964
2014,0.110742934048176,0.338457974649611,0.166274987181188,0.391536542773247,0.429109410643578,0.243857744336128,0.261461253712575,0.195952116477269,0.250468491839293,0.245481031707355,0.107158234575763,0.311433479493978,0.190695020327201,0.510965561109876,0.318496007758837,0.220835844261779
2015,0.0918581237935502,0.24962976362024,0.115663454056747,0.420992432747568,0.299577630618039,0.240559543967247,0.341218105703592,0.224120842499865,0.208031178141634,0.216318164393306,0.103212847734209,0.244916855224541,0.21416436032607,0.452743444887419,0.378983137412713,0.15561344081329
2016,0.093129829382119,0.246604166924953,0.104176576619828,0.401423154558454,0.293287982835489,0.213224885761738,0.329014300803343,0.231527768351414,0.222594067024497,0.21079967059195,0.0961011520544575,0.249254825011808,0.250206446303771,0.426565385763607,0.393973999011975,0.155629706465536
2017,0.102253250453783,0.354150342799368,0.14001283620394,0.503495468412127,0.387251406761945,0.299209632873535,0.423523319760958,0.300493253325974,0.298191061291175,0.2662075742547,0.11735909732736,0.333749583941333,0.345489399708234,0.553547789416616,0.492819756842577,0.199250102457073
2018,0.184903618434201,0.352706662955738,0.168193875421439,0.402524555155209,0.399564683291258,0.235211308002472,0.33709530433019,0.320207681368898,0.327926041510625,0.270806262216398,0.14544430358166,0.327913928700953,0.354535736945959,0.40829491638948,0.448604188859463,0.235361256533199
2019,0.219842558645684,0.310566158521743,0.134139334582674,0.426726147532463,0.323248731739381,0.210567514300346,0.428237101932367,0.422300986669682,0.37934333171982,0.264367415543113,0.162503240947527,0.322194174084128,0.502247727375764,0.328330792723194,0.564421760921295,0.20244022914105
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,0.198455587677334,0.360814696266538,0.189095436725565,0.490191149711609,0.382691338950512,0.291738292574882,0.436248457431793,0.36309316230041,0.383623506587285,0.314412420136588,0.178126602899283,0.389397151616155,0.437940953328059,0.516904316960819,0.53313316576756,0.261448401543829
2022,0.255814300283142,0.326355568000249,0.223085335265565,0.436318010091782,0.344870149797084,0.30122455060482,0.372075026730696,0.321386533754843,0.336741784635263,0.318144127087934,0.208699698051946,0.323167931060402,0.306414231657982,0.436535200192815,0.439565197779582,0.27242330296172
2023,0.277844535267871,0.543241052400498,0.22517575203411,0.399382146767208,0.544046326010835,0.336753618121147,0.361339126030604,0.385160031693953,0.419807551189875,0.31883061421769,0.221118494021622,0.385075781418353,0.501649581010525,0.407765720335264,0.462566228440175,0.276912008722623
2024,0.132120384794215,0.251290025455611,0.104468686466095,0.365967582379069,0.263873819042655,0.20567147821188,0.350852450231711,0.292305519459424,0.258556858755839,0.200556482268231,0.12273735855706,0.231729759397555,0.356435373425484,0.329357686378653,0.430384168831202,0.143044321694308
