"year","Upper_Virgin_River","Eastern_Mojave","Western_Mojave","Northeastern_Mojave","Colorado_Desert"
2001,0.648511135578156,0.583964543257581,0.516324825825651,0.54765095470189,0.243387794502601
2002,0.351468076556921,0.460250388521686,0.313274112488992,0.40466343520183,0.174975130801245
2003,0.647594741980235,0.548026101690704,0.495409280606704,0.524596427562042,0.243481206138716
2004,0.57744813511769,0.452950253812731,0.410074219372654,0.437316030746614,0.191760524846468
2005,0.490751896301905,0.407588993597957,0.397246518278707,0.373305970497724,0.183491751605985
2006,0.799917437632879,0.466405517584859,0.489788267474047,0.503520760695699,0.264759351053648
2007,0.229363078872363,0.394974858800688,0.364775611442292,0.277139966013068,0.187079196016699
2008,0.599353859821955,0.548040882143166,0.436259707116815,0.464005891852815,0.203636917283809
2009,0.493948363264402,0.448237355302759,0.361344923591894,0.403093480689209,0.16959033799557
2010,0.495693695545197,0.496708507074119,0.413031964687881,0.450207978339687,0.201490050464405
2011,0.449481280644735,0.426675143773141,0.396719636242531,0.345996759684577,0.21130375694556
2012,0.332978926599026,0.549995305092713,0.450559010284996,0.489555375277996,0.264544960256333
2013,0.605146560072899,0.467134050737787,0.39490465061153,0.398867983591389,0.171068819580375
2014,0.530739318331083,0.503833396318559,0.416646398910002,0.467661789367793,0.18644181480595
2015,0.558256843686104,0.439190495612004,0.354740902811349,0.405708996410676,0.156254653572485
2016,0.566496064762274,0.43276032106276,0.371230473273428,0.386214038778075,0.15342360353351
2017,0.672586168845495,0.524952263592182,0.446606614949827,0.473688774673784,0.192392104616976
2018,0.630194200078646,0.452657894129535,0.463177061186196,0.450373493408584,0.219603790329037
2019,0.743688535690308,0.417898673575853,0.4867732545304,0.430179690497673,0.225653939543415
2020,NA,NA,NA,NA,NA
2021,0.58151830236117,0.531870246763011,0.480550866241834,0.471055342905265,0.241088169376848
2022,0.474332963426908,0.479905035184777,0.432519101009579,0.436602660828391,0.251277353766769
2023,0.706716108322144,0.448275520617194,0.511791425467822,0.536988679107956,0.293167385370525
2024,0.632088033358256,0.352245635437694,0.378373686332472,0.350972536551414,0.171004942980693
