"","AOU","Total.Count","Common.Name","Binomial.Name","Order","Family"
"1",5730,11136,"Black-throated Sparrow","Amphispiza bilineata","Passeriformes","Passerellidae"
"2",5190,6208,"House Finch","Haemorhous mexicanus","Passeriformes","Fringillidae"
"3",3160,4606,"Mourning Dove","Zenaida macroura","Columbiformes","Columbidae"
"4",4740,4403,"Horned Lark","Eremophila alpestris","Passeriformes","Alaudidae"
"5",6882,4185,"House Sparrow","Passer domesticus","Passeriformes","Passeridae"
"6",4860,3810,"Common Raven","Corvus corax","Passeriformes","Corvidae"
"7",4540,3621,"Ash-throated Flycatcher","Myiarchus cinerascens","Passeriformes","Tyrannidae"
"8",2950,2737,"Gambel's Quail","Callipepla gambelii","Galliformes","Odontophoridae"
"9",7030,2481,"Northern Mockingbird","Mimus polyglottos","Passeriformes","Mimidae"
"10",7380,1842,"Mountain Chickadee","Poecile gambeli","Passeriformes","Paridae"
"11",7130,1368,"Cactus Wren","Campylorhynchus brunneicapillus","Passeriformes","Troglodytidae"
"12",7150,1328,"Rock Wren","Salpinctes obsoletus","Passeriformes","Troglodytidae"
"13",4470,1066,"Western Kingbird","Tyrannus verticalis","Passeriformes","Tyrannidae"
"14",5900,1058,"Green-tailed Towhee","Pipilo chlorurus","Passeriformes","Passerellidae"
"15",6220,1011,"Loggerhead Shrike","Lanius ludovicianus","Passeriformes","Laniidae"
"16",4250,991,"White-throated Swift","Aeronautes saxatalis","Apodiformes","Apodidae"
"17",4620,979,"Western Wood-Pewee","Contopus sordidulus","Passeriformes","Tyrannidae"
"18",2940,967,"California Quail","Callipepla californica","Galliformes","Odontophoridae"
"19",5880,938,"Spotted Towhee","Pipilo maculatus","Passeriformes","Passerellidae"
"20",4570,917,"Say's Phoebe","Sayornis saya","Passeriformes","Tyrannidae"
"21",5671,857,"(Oregon Junco) Dark-eyed Junco","Junco hyemalis oreganus","Passeriformes","Passerellidae"
"22",4780,849,"Steller's Jay","Cyanocitta stelleri","Passeriformes","Corvidae"
"23",6070,820,"Western Tanager","Piranga ludoviciana","Passeriformes","Cardinalidae"
"24",4930,781,"European Starling","Sturnus vulgaris","Passeriformes","Sturnidae"
"25",6150,757,"Violet-green Swallow","Tachycineta thalassina","Passeriformes","Hirundinidae"
"26",7190,731,"Bewick's Wren","Thryomanes bewickii","Passeriformes","Troglodytidae"
"27",7460,666,"Verdin","Auriparus flaviceps","Passeriformes","Remizidae"
"28",2882,661,"Chukar","Alectoris chukar","Galliformes","Phasianidae"
"29",3370,654,"Red-tailed Hawk","Buteo jamaicensis","Accipitriformes","Accipitridae"
"30",5739,654,"Bell's Sparrow","Artemisiospiza belli","Passeriformes","Passerellidae"
"31",6120,624,"Cliff Swallow","Petrochelidon pyrrhonota","Passeriformes","Hirundinidae"
"32",5040,621,"Scott's Oriole","Icterus parisorum","Passeriformes","Icteridae"
"33",6200,615,"Phainopepla","Phainopepla nitens","Passeriformes","Ptiliogonatidae"
"34",6560,602,"(Audubon's Warbler) Yellow-rumped Warbler","Setophaga coronata audoboni","Passeriformes","Parulidae"
"35",5850,563,"Fox Sparrow","Passerella iliaca","Passeriformes","Passerellidae"
"36",7510,547,"Blue-gray Gnatcatcher","Polioptila caerulea","Passeriformes","Polioptilidae"
"37",22860,545,"Eurasian Collared-Dove","Streptopelia decaocto","Columbiformes","Columbidae"
"38",4812,544,"California Scrub-Jay","Aphelocoma californica","Passeriformes","Corvidae"
"39",4980,540,"Red-winged Blackbird","Agelaius phoeniceus","Passeriformes","Icteridae"
"40",4920,522,"Pinyon Jay","Gymnorhinus cyanocephalus","Passeriformes","Corvidae"
"41",3131,508,"Rock Pigeon","Columba livia","Columbiformes","Columbidae"
"42",5620,501,"Brewer's Sparrow","Spizella breweri","Passeriformes","Passerellidae"
"43",5300,463,"Lesser Goldfinch","Spinus psaltria","Passeriformes","Fringillidae"
"44",7610,445,"American Robin","Turdus migratorius","Passeriformes","Turdidae"
"45",7300,414,"Pygmy Nuthatch","Sitta pygmaea","Passeriformes","Sittidae"
"46",3250,402,"Turkey Vulture","Cathartes aura","Cathartiformes","Cathartidae"
"47",5011,402,"Western Meadowlark","Sturnella neglecta","Passeriformes","Icteridae"
"48",7270,396,"White-breasted Nuthatch","Sitta carolinensis","Passeriformes","Sittidae"
"49",4910,392,"Clark's Nutcracker","Nucifraga columbiana","Passeriformes","Corvidae"
"50",7430,360,"Bushtit","Psaltriparus minimus","Passeriformes","Aegithalidae"
"51",7670,354,"Western Bluebird","Sialia mexicana","Passeriformes","Turdidae"
"52",5120,340,"Great-tailed Grackle","Quiscalus mexicanus","Passeriformes","Icteridae"
"53",5740,334,"unid. Sagebrush Sparrow / Bell's Sparrow","Artemisiospiza nevadensis / belli","Passeriformes","Passerellidae"
"54",7520,326,"Black-tailed Gnatcatcher","Polioptila melanura","Passeriformes","Polioptilidae"
"55",4690,324,"Dusky Flycatcher","Empidonax oberholseri","Passeriformes","Tyrannidae"
"56",5100,294,"Brewer's Blackbird","Euphagus cyanocephalus","Passeriformes","Icteridae"
"57",4130,291,"(Red-shafted Flicker) Northern Flicker","Colaptes auratus cafer","Piciformes","Picidae"
"58",5600,289,"Chipping Sparrow","Spizella passerina","Passeriformes","Passerellidae"
"59",4970,280,"Yellow-headed Blackbird","Xanthocephalus xanthocephalus","Passeriformes","Icteridae"
