year,AG,CK,CM,FE,JT,PT,PV,EV,IV,BD,CS,GB,MM,FK,OR,SC
2001,10.1,10.1,7.2,15.7,5.8,6.5,2.1,2.1,2.8,5.6,2.2,1.2,1.8,5.5,10.1,4.3
2002,7.7,7.7,,3.7,3.3,4,2.3,2.3,5.4,,3.5,,,4.7,13.1,8.1
2003,4,4,6.3,,2.7,3.8,3.2,3.2,,,5.5,1.8,3.8,3.4,4.1,7.8
2004,6.4,6.4,6.9,8.7,1.7,2.2,2.7,2.7,4.7,,1.3,0.7,2.3,6.1,5.2,4.5
2005,7.9,7.9,10.8,14,2.8,10.3,4.3,4.3,4.6,0.9,3.3,0.2,4.9,5.7,8.1,6.7
2006,,,,,,,,,,,,,,,,
2007,7.1,4.5,4.6,6.6,2.8,2.4,4.2,4.2,6.5,1.2,1.4,1.2,3.3,2.7,8.2,6.3
2008,3.4,3.2,3.6,5,1.8,2.5,3,3,3.8,1.1,1.2,,1.9,0.4,3.8,1.4
2009,7.3,,9.2,8.1,2.3,5,3.7,3.7,4,3.2,2,2.2,7.3,3.3,7.1,4.9
2010,13.8,3.7,4.2,6.9,2.8,3.4,2.7,2.7,1,3.3,3.6,1.7,5.5,2.5,7.5,2.6
2011,,3.9,4,6.8,3.5,3.3,6.6,2.8,4.5,3.3,4,1.6,6.3,3.5,3.2,3.4
2012,6,3.9,0.8,0.9,3.4,3.7,1.9,0.9,2.8,5.4,2.9,2.3,4.3,2.2,4.6,4.4
2013,7.3,,,,,,,,,2.6,,1.7,,,,
2014,8.4,,,,,,,,,,,,,4.7,3.5,2.5
2015,10.3,,,,,,,,1.9,,,,,4.5,,2.6
2016,8.5,,1.7,5.5,2.6,2.1,4,2.7,,5.6,4.2,,2.1,,,3.6
2017,9.4,4.3,,,3.6,2.3,5.9,5.6,,1.3,,1.9,,4.1,3.9,1.7
2018,7.6,,2.9,6,,,,,3.7,,5.1,2.3,3.6,,3.4,
2019,7,1.8,,2.8,3.1,1.7,,2.3,2.6,2,3.2,,,2.7,2.5,1.9
2020,7.1,4.6,4,,3.9,2.9,,,,,,,,1.7,,
2021,3.9,2.6,,5.3,,,3.9,,3,,,2.4,5.2,,2.5,
2022,4.2,,4.5,,,,3.1,2.9,,2.8,4.5,2.6,2.6,,,2.2
2023,6.9,,,,,,,,,,,,,,,
2024,7.4,,,,,,4,,,1.7,2.7,,,1.8,2.7,
